Cocktail Name,Ingredients,Missing Ingredients
Orangeade,"Lemon juice, Orange juice, Sugar syrup, Soda water",soda water
Between The Sheets,"Brandy, Light rum, Triple sec, Lemon juice",brandy
Van Vleet,"Light rum, Maple syrup, Lemon juice",maple syrup
155 Belmont,"Dark rum, Light rum, Vodka, Orange juice",dark rum
Amaretto Mist,"Amaretto, Lime",amaretto
Shark Attack,"Lemonade, Water, Vodka",lemonade
Banana Daiquiri,"Light rum, Triple sec, Banana, Lime juice, Sugar, Cherry",banana
Cuba Libre,"Light rum, Lime, Coca-Cola",coca-cola
Kir,"Creme de Cassis, Champagne",creme de cassis
Kool-Aid Slammer,"Kool-Aid, Vodka",kool-aid
After Dinner Cocktail,"Apricot brandy, Triple sec, Lime, Lime",apricot brandy
69 Special,"Gin, 7-Up, Lemon juice",7-up
Harvey Wallbanger,"Vodka, Galliano, Orange juice",galliano
Cherry Rum,"Light rum, Cherry brandy, Light cream",cherry brandy
Godmother,"Vodka, Amaretto",amaretto
Gin Tonic,"Gin, Tonic Water, Lemon Peel, Ice",lemon peel
Passion Fruit Martini,"Vodka, Sugar Syrup, Passion fruit juice",passion fruit juice
Absolutly Screwed Up,"Absolut Citron, Orange juice, Triple sec, Ginger ale",absolut citron
Munich Mule,"Gin, Lime Juice, Ginger Beer, Cucumber, lemon",cucumber
Monkey Wrench,"Light rum, Grapefruit juice, Bitters",grapefruit juice
Gin Daisy,"Gin, Lemon juice, Sugar, Grenadine, Maraschino cherry, Orange",grenadine
A Furlong Too Late,"Light rum, Ginger beer, Lemon peel",lemon peel
Jello shots,"Vodka, Jello, Water",jello
Addison Special,"Vodka, Grenadine, Orange juice",grenadine
Cosmopolitan Martini,"Cointreau, Vodka, Lime, Cranberry juice",cranberry juice
After Supper Cocktail,"Triple sec, Apricot brandy, Lemon juice",apricot brandy
Daiquiri,"Light rum, Lime, Powdered sugar",powdered sugar
Imperial Cocktail,"Lime juice, Gin, Aperol",aperol
Happy Skipper,"Spiced rum, Ginger ale, Lime, Ice",spiced rum
Cream Soda,"Spiced rum, Ginger ale",spiced rum
Arise My Love,"Champagne, Green Creme de Menthe",green creme de menthe
Bacardi Cocktail,"Light rum, Lime juice, Sugar syrup, Grenadine",grenadine
Gin Swizzle,"Lime juice, Sugar, Gin, Bitters, Club soda",club soda
Kentucky B And B,"Bourbon, Benedictine",benedictine
Abbey Cocktail,"Gin, Orange bitters, Orange, Cherry",orange bitters
Bramble,"Gin, lemon juice, Sugar syrup, Creme de Mure",creme de mure
Campari Beer,"Lager, Campari",lager
Kill the cold Smoothie,"Ginger, Lemon, Water",ginger
Absolutely Fabulous,"Vodka, Cranberry Juice, Champagne",cranberry juice
Applecar,"Applejack, Triple sec, Lemon juice",applejack
Apple Berry Smoothie,"Berries, Apple",berries
Addison,"Gin, Vermouth",vermouth
A True Amaretto Sour,"Amaretto, Lemon, Ice, Maraschino cherry",amaretto
Kir Royale,"Creme de Cassis, Champagne",creme de cassis
Quick-sand,"Black Sambuca, Orange juice",black sambuca
Absolut limousine,"Absolut Citron, Lime juice, Ice, Tonic water",absolut citron
Gin Lemon,"Gin, Lemon Juice, Lemon Peel, Ice",lemon peel
